ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,QTDE_EMPRESAS,QTDE_COMPLEXOS,QTDE_SALAS,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMP_QUADRATIC,CUMP_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMP_LINEAR,CUMP_TRIWEIGHT,REGISTRO_GRUPO
2017,7,1806,13417.078918719266,179,1.0,1,1,1,1.0,122.0,28.0,28.0,20.175343,20.175343,20.18,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,3c5758f589534bd8a5b1a83e8b2fa3ec
2017,27,48369,437258.3027137264,706,1.0,1,1,1,1.0,220.0,28.0,28.0,28.0,28.0,28.0,0.4375,0.30113743215480443,0.0,0.0,0.25,0.25,0.25,0a54429e8b6541289e3f71c4a1e374b4
2017,45,2821,50819.41270858993,656,1.0,1,1,1,1.0,50.0,28.0,28.0,28.0,28.0,28.0,0.0,0.15884015441915675,0.0,0.0,2.357142857142857,0.0,0.0,f18af562970b4d30bfe8c7424dc61f7d
2017,24,396,4115.16615703142,92,1.0,1,1,1,1.0,130.0,28.0,28.0,28.0,28.0,28.0,0.9741709183673468,0.3938232501484804,0.0,0.0,1.1607142857142858,0.8392857142857142,0.8392857142857142,0bff0854eeb6489bac99401856afe13e
2017,132,209408,3649112.2372975517,6065,1.0,1,1,6,6.0,1034.0,63.0,63.0,63.0,63.0,63.0,0.99190952101005,0.3973317230738505,0.0,0.0,1.08994708994709,0.91005291005291,0.91005291005291,33a377cc3c8040f8a6e36d014e02ada6
2017,129,69429,745721.7470386537,2522,1.0,1,1,2,2.0,354.0,35.0,35.0,34.999998,34.999998,35.0,0.6226530612244898,0.3303468874284921,0.0,0.0,0.3857142857142857,0.3857142857142857,0.3857142857142857,34c7f39362d44d859f3efab491a64532
2017,53,62915,586058.5490621193,2608,1.0,1,1,2,2.0,472.0,35.0,35.0,34.999998,34.999998,35.0,0.8163265306122449,0.3639367217154837,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,9806752999e046d4a30f071272449cc7
2017,8,2217,22504.680632541334,190,1.0,1,1,1,1.0,1535.0,28.0,28.0,28.0,28.0,28.0,0.20280612244897955,0.2677944763458458,0.0,0.0,0.10714285714285714,0.1071428571428571,0.1071428571428571,581d3a60af41408bb43261e65744af71
2017,8,565,6010.760659499375,63,1.0,1,1,1,1.0,450.0,28.0,28.0,24.317809,24.317809,24.32,0.7221253624913435,0.3471925159197288,0.0,0.0,0.4728618421052632,0.4728618421052632,0.4728618421052632,4943bb8c49064a15b637f03cd88802e5
2017,62,20111,87423.30812750051,781,1.0,1,1,1,1.0,110.0,28.0,28.0,28.0,28.0,28.0,0.9540816326530612,0.3898872372672994,0.0,0.0,1.2142857142857142,0.7857142857142858,0.7857142857142858,472937bb84c24965acc293a0233916ed
2017,30,60996,462098.22757005744,1107,1.0,1,1,2,2.0,342.0,35.0,35.0,34.999998,34.999998,35.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,ab338cc14923479d8516905be01b0afb
2017,49,109245,1299417.964681553,2411,1.0,1,1,2,2.0,747.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,8b3899ca2fcd4119a3b8a8af7ec87ca2
2017,29,22102,305886.8699280161,927,1.0,1,1,2,2.0,312.0,35.0,35.0,34.999998,34.999998,35.0,0.4587244897959183,0.30435019348615794,0.0,0.0,0.2642857142857143,0.26428571428571423,0.26428571428571423,33f8aabd33e148c39bd94170bec6d623
2017,52,299701,3147269.9981969944,3559,1.0,1,1,3,3.0,993.0,42.0,42.0,42.0,42.0,42.0,0.9948979591836736,0.3979258674986881,0.0,0.0,1.0714285714285714,0.9285714285714286,0.9285714285714286,717d0c10d9df40fbba72e9f5c870de98
2017,52,26351,251081.5992629018,741,1.0,1,1,1,1.0,200.0,28.0,28.0,28.0,28.0,28.0,0.859375,0.37185509386976895,0.0,0.0,1.375,0.625,0.625,4ec048e85ebd439eb53694579b114acc
2017,54,79415,956010.9960729908,3463,1.0,1,1,4,4.0,753.0,49.0,49.0,48.99999725,48.99999725,49.0,0.7265136922115785,0.34795514990423443,0.0,0.0,0.4770408163265306,0.4770408163265306,0.4770408163265306,220fe984e8a749fe881bd18d06e1f056
2017,2,104,497.3823701203882,4,1.0,1,1,2,2.0,332.0,35.0,35.0,34.999998,34.999998,35.0,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,362a72723fc14db0aeef5d0c5ec77305
2017,1,73,533.6953004339193,27,1.0,1,1,1,1.0,83.0,28.0,28.0,28.0,28.0,28.0,0.0,7.199280460874998e-14,0.0,0.0,8.660714285714286,0.0,0.0,4dc1c4166e394abfb75b248ea932ba6d
2017,53,110126,1193871.9938066124,2574,2.0,1,2,3,3.0,580.0,35.0,35.0,34.999998,34.999998,35.0,0.5958673469387756,0.3259520938692066,0.0,0.0,0.3642857142857143,0.3642857142857143,0.3642857142857143,919c2bdb3ceb47fca6c32c1238dea93a
2017,21,11930,124909.59423259627,420,1.0,1,1,1,1.0,164.0,28.0,28.0,28.0,28.0,28.0,0.9971301020408164,0.3983702291136187,0.0,0.0,1.0535714285714286,0.9464285714285714,0.9464285714285714,7eebd2395d37402fb2c9db3225074e70
2017,43,77689,1194732.1871459729,3875,1.0,1,1,3,3.0,581.0,42.0,42.16666666666666,38.893156,39.05982266666667,39.06,0.5883788748859856,0.3247339342581589,0.0,0.0,0.35842293906810035,0.3584229390681004,0.3584229390681004,af63b467cee242d3bd5ac5ce4b68b269
2017,37,43621,578716.6678912668,1547,1.0,1,1,2,2.0,276.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,1636bda4457b47bfbfea0a28b1b77495
2017,52,10849,116262.19574767,678,1.0,1,1,1,1.0,120.0,28.0,28.0,28.0,28.0,28.0,0.9971301020408164,0.3983702291136187,0.0,0.0,0.9464285714285714,0.9464285714285714,0.9464285714285714,6961267ca9294a7ca4466bdf4172ef9f
2017,29,20820,300664.81523509824,144,1.0,1,1,1,1.0,950.0,28.0,28.0,28.0,28.0,28.0,0.9948979591836736,0.3979258674986881,0.0,0.0,1.0714285714285714,0.9285714285714286,0.9285714285714286,93c5161f39ce43beb8d6c9e50cca6784
2017,40,35780,338724.6776466476,551,1.0,1,1,1,1.0,401.0,28.0,28.0,28.0,28.0,28.0,0.9987244897959184,0.3986879340406525,0.0,0.0,1.0357142857142858,0.9642857142857142,0.9642857142857142,5361c5e12ac142bf98c9f4126c1a4f36
2017,25,9780,131326.24783964458,547,1.0,1,1,1,1.0,100.0,28.0,28.0,28.0,28.0,28.0,0.9681122448979592,0.3926320321210658,0.0,0.0,1.1785714285714286,0.8214285714285714,0.8214285714285714,c960edfb24754ec1b9bc490d21485e62
2017,47,27872,319047.5069129275,588,1.0,1,1,1,1.0,300.0,28.0,28.0,28.0,28.0,28.0,0.9614158163265306,0.3913196142962197,0.0,0.0,1.1964285714285714,0.8035714285714286,0.8035714285714286,b4eb82fece3e42c58d3a0f77523da7c4
2017,87,106658,1198696.8459836438,1957,1.0,1,1,2,2.0,650.0,35.0,35.0,34.999998,34.999998,35.0,0.22811224489795925,0.27120442389392874,0.0,0.0,0.12142857142857146,0.12142857142857146,0.12142857142857146,7470394bf16b4a6aa3afef2cf20c005b
2017,81,174673,2828060.451761912,5827,1.0,1,1,4,4.0,771.0,49.0,49.125,48.99999725,49.12499725,49.125,0.4517219276265951,0.30328644124510057,0.0,0.0,0.2595419847328244,0.2595419847328244,0.2595419847328244,b543a60483204c7a81092c7a4c803ed4
2017,71,19720,243883.19191839962,1004,1.0,1,1,2,2.0,358.0,42.0,42.0,42.0,42.0,42.0,0.4134385235575713,0.29753623252094324,0.0,0.0,0.2341269841269841,0.23412698412698416,0.23412698412698416,4614dbdda67e4f0aa3b6bf5ae5d0e3e5
2017,7,2380,32675.93148383168,110,1.0,1,1,1,1.0,104.0,28.0,28.0,4.60274,4.60274,4.6,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,04014c48075c4853b5b3f00be6ac88cd
2017,30,23055,178856.96427034726,598,1.0,1,1,1,1.0,190.0,28.0,28.0,28.0,28.0,28.0,0.6527423469387754,0.33535441212874034,0.0,0.0,0.4107142857142857,0.4107142857142857,0.4107142857142857,9d90732321874243a91ae0bab50fdcf0
